arch,freshness,latency_ms,jitter_ms,packet_loss,bandwidth_mbps,num_queries,failures,recall_at_10,latency_p50_ms,latency_p95_ms,latency_p99_ms
ivf,partial,10.0,5.0,0.01,1000.0,5000,0,0.74408,0.4585,0.6383,0.813
ivf,stale,10.0,5.0,0.01,1000.0,5000,0,0.73532,0.4568,0.6221,0.7734
hnsw,fresh,10.0,5.0,0.01,100.0,5000,0,0.95954,0.453,0.629,0.798
hnsw,partial,10.0,5.0,0.01,100.0,5000,0,0.74408,0.4759,0.7184,1.3512
hnsw,stale,10.0,5.0,0.01,100.0,5000,0,0.73532,0.4601,0.6351,0.8327
ivf,fresh,10.0,5.0,0.01,100.0,5000,0,0.95954,0.4563,0.6848,1.0624
ivf,partial,10.0,5.0,0.01,100.0,5000,0,0.74408,0.4535,0.6209,0.7799
ivf,stale,10.0,5.0,0.01,100.0,5000,0,0.73532,0.457,0.6375,0.8817
hnsw,fresh,10.0,5.0,0.01,10.0,5000,0,0.95954,0.4539,0.6173,0.8211
hnsw,partial,10.0,5.0,0.01,10.0,5000,0,0.74408,0.4647,0.6616,0.854
hnsw,stale,10.0,5.0,0.01,10.0,5000,0,0.73532,0.459,0.6325,0.8054
ivf,fresh,10.0,5.0,0.01,10.0,5000,0,0.95954,0.452,0.6352,0.8588
ivf,partial,10.0,5.0,0.01,10.0,5000,0,0.74408,0.4551,0.6003,0.7291
ivf,stale,10.0,5.0,0.01,10.0,5000,0,0.73532,0.4609,0.6294,0.9054
hnsw,fresh,20.0,5.0,0.0,1000.0,5000,0,0.95954,0.459,0.6087,0.8176
hnsw,partial,20.0,5.0,0.0,1000.0,5000,0,0.74408,0.4606,0.6144,0.7651
hnsw,stale,20.0,5.0,0.0,1000.0,5000,0,0.73532,0.4582,0.5951,0.696
ivf,fresh,20.0,5.0,0.0,1000.0,5000,0,0.95954,0.4563,0.628,0.7954
ivf,partial,20.0,5.0,0.0,1000.0,5000,0,0.74408,0.4573,0.6225,0.7608
ivf,stale,20.0,5.0,0.0,1000.0,5000,0,0.73532,0.4566,0.592,0.684
hnsw,fresh,20.0,5.0,0.0,100.0,5000,0,0.95954,0.4702,0.7203,1.0045
